,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
414,2020-10-19T00:00:00.000,Southside,1718,90,46
415,2020-10-19T00:00:00.000,Thomas Jefferson,4174,210,76
416,2020-10-19T00:00:00.000,Three Rivers,2158,133,35
417,2020-10-19T00:00:00.000,Virginia Beach,7553,418,102
418,2020-10-19T00:00:00.000,Western Tidewater,4444,220,144
419,2020-10-19T00:00:00.000,West Piedmont,2670,276,84
420,2020-10-18T00:00:00.000,Alexandria,4117,323,74
421,2020-10-18T00:00:00.000,Alleghany,2210,100,30
422,2020-10-18T00:00:00.000,Arlington,4372,518,152
423,2020-10-18T00:00:00.000,Central Shenandoah,6444,291,75
424,2020-10-18T00:00:00.000,Central Virginia,4288,163,54
425,2020-10-18T00:00:00.000,Chesapeake,4730,459,78
426,2020-10-18T00:00:00.000,Chesterfield,7245,439,130
427,2020-10-18T00:00:00.000,Chickahominy,2198,176,55
428,2020-10-18T00:00:00.000,Crater,4791,290,110
429,2020-10-18T00:00:00.000,Cumberland Plateau,1180,75,13
430,2020-10-18T00:00:00.000,Eastern Shore,1512,143,50
431,2020-10-18T00:00:00.000,Fairfax,22846,2236,617
432,2020-10-18T00:00:00.000,Hampton,2033,86,29
433,2020-10-18T00:00:00.000,Henrico,5962,472,222
434,2020-10-18T00:00:00.000,Lenowisco,1228,96,23
435,2020-10-18T00:00:00.000,Lord Fairfax,3642,306,121
436,2020-10-18T00:00:00.000,Loudoun,7558,468,129
437,2020-10-18T00:00:00.000,Mount Rogers,3374,291,136
438,2020-10-18T00:00:00.000,New River,3965,71,28
439,2020-10-18T00:00:00.000,Norfolk,5179,396,84
440,2020-10-18T00:00:00.000,Peninsula,4871,213,89
441,2020-10-18T00:00:00.000,Piedmont,2351,147,53
442,2020-10-18T00:00:00.000,Pittsylvania-Danville,2341,175,53
443,2020-10-18T00:00:00.000,Portsmouth,2719,294,64
