Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Piedmont,4/25/2020,Male,48,11,2,2020-04-25 20:31:07.033242
Crater,4/25/2020,Not Reported,4,3,0,2020-04-25 20:31:07.033242
Fairfax,4/25/2020,Not Reported,20,3,0,2020-04-25 20:31:07.033242
Portsmouth,4/25/2020,Female,61,14,2,2020-04-25 20:31:07.033242
Western Tidewater,4/25/2020,Female,143,15,5,2020-04-25 20:31:07.033242
Alleghany,4/25/2020,Male,35,9,1,2020-04-25 20:31:07.033242
Western Tidewater,4/25/2020,Not Reported,1,0,0,2020-04-25 20:31:07.033242
Henrico,4/25/2020,Male,310,63,41,2020-04-25 20:31:07.033242
Chesterfield,4/27/2020,Female,286,15,8,2020-04-27 20:28:04.771219
Mount Rogers,4/27/2020,Female,30,5,0,2020-04-27 20:28:04.771219
Virginia Beach,4/27/2020,Male,162,41,6,2020-04-27 20:28:04.771219
Crater,4/27/2020,Female,106,29,9,2020-04-27 20:28:04.771219
New River,4/27/2020,Female,36,3,0,2020-04-27 20:28:04.771219
Central Virginia,4/27/2020,Male,64,4,1,2020-04-27 20:28:04.771219
Lenowisco,4/27/2020,Male,19,7,1,2020-04-27 20:28:04.771219
Richmond,4/27/2020,Female,153,23,1,2020-04-27 20:28:04.771219
Chesapeake,4/27/2020,Female,122,23,3,2020-04-27 20:28:04.771219
Fairfax,4/27/2020,Female,1478,217,53,2020-04-27 20:28:04.771219
Peninsula,4/27/2020,Female,173,44,13,2020-04-27 20:28:04.771219
Loudoun,4/27/2020,Female,331,25,6,2020-04-27 20:28:04.771219
Norfolk,4/27/2020,Male,91,18,3,2020-04-27 20:28:04.771219
Loudoun,4/27/2020,Not Reported,2,0,0,2020-04-27 20:28:04.771219
Rappahannock,4/27/2020,Not Reported,3,0,0,2020-04-27 20:28:04.771219
Virginia Beach,4/27/2020,Female,193,31,4,2020-04-27 20:28:04.771219
Roanoke,4/27/2020,Female,15,2,0,2020-04-27 20:28:04.771219
West Piedmont,4/27/2020,Male,17,4,1,2020-04-27 20:28:04.771219
Thomas Jefferson,4/27/2020,Not Reported,1,0,0,2020-04-27 20:28:04.771219
New River,4/27/2020,Not Reported,1,0,0,2020-04-27 20:28:04.771219
Alexandria,4/27/2020,Not Reported,4,0,0,2020-04-27 20:28:04.771219
Chesterfield,4/27/2020,Male,220,24,13,2020-04-27 20:28:04.771219
Rappahannock,4/27/2020,Female,212,36,2,2020-04-27 20:28:04.771219
Chickahominy,4/27/2020,Female,140,21,4,2020-04-27 20:28:04.771219
Arlington,4/27/2020,Male,417,77,20,2020-04-27 20:28:04.771219
Chesterfield,4/27/2020,Not Reported,7,0,0,2020-04-27 20:28:04.771219
Richmond,4/27/2020,Male,148,35,11,2020-04-27 20:28:04.771219
Prince William,4/27/2020,Female,771,86,9,2020-04-27 20:28:04.771219
Loudoun,4/27/2020,Male,295,53,6,2020-04-27 20:28:04.771219
Portsmouth,4/27/2020,Male,47,17,3,2020-04-27 20:28:04.771219
Henrico,4/27/2020,Female,489,52,47,2020-04-27 20:28:04.771219
Thomas Jefferson,4/27/2020,Female,141,32,3,2020-04-27 20:28:04.771219
Pittsylvania-Danville,4/27/2020,Female,25,9,1,2020-04-27 20:28:04.771219
Mount Rogers,4/27/2020,Not Reported,1,0,0,2020-04-27 20:28:04.771219
Chickahominy,4/27/2020,Male,69,21,8,2020-04-27 20:28:04.771219
Prince William,4/27/2020,Male,784,85,14,2020-04-27 20:28:04.771219
Thomas Jefferson,4/27/2020,Male,116,25,8,2020-04-27 20:28:04.771219
Cumberland Plateau,4/27/2020,Male,9,0,0,2020-04-27 20:28:04.771219
Lord Fairfax,4/27/2020,Not Reported,2,0,0,2020-04-27 20:28:04.771219
Portsmouth,4/27/2020,Not Reported,1,0,0,2020-04-27 20:28:04.771219
Eastern Shore,4/27/2020,Female,104,10,2,2020-04-27 20:28:04.771219
Three Rivers,4/27/2020,Male,151,8,0,2020-04-27 20:28:04.771219
Alexandria,4/27/2020,Male,301,42,10,2020-04-27 20:28:04.771219
Piedmont,4/27/2020,Female,74,6,1,2020-04-27 20:28:04.771219
New River,4/27/2020,Male,34,5,1,2020-04-27 20:28:04.771219
Rappahannock,4/27/2020,Male,195,51,7,2020-04-27 20:28:04.771219
Rappahannock Rapidan,4/27/2020,Male,123,14,3,2020-04-27 20:28:04.771219
Lord Fairfax,4/27/2020,Male,150,20,1,2020-04-27 20:28:04.771219
Chesapeake,4/27/2020,Male,92,22,3,2020-04-27 20:28:04.771219
Norfolk,4/27/2020,Female,93,18,0,2020-04-27 20:28:04.771219
Alleghany,4/27/2020,Female,51,5,2,2020-04-27 20:28:04.771219
Crater,4/27/2020,Male,80,19,3,2020-04-27 20:28:04.771219
Central Shenandoah,4/27/2020,Male,274,22,7,2020-04-27 20:28:04.771219
Rappahannock Rapidan,4/27/2020,Not Reported,6,0,0,2020-04-27 20:28:04.771219
Hampton,4/27/2020,Male,46,17,1,2020-04-27 20:28:04.771219
Southside,4/27/2020,Male,42,14,4,2020-04-27 20:28:04.771219
Hampton,4/27/2020,Female,61,11,0,2020-04-27 20:28:04.771219
Fairfax,4/27/2020,Male,1556,309,50,2020-04-27 20:28:04.771219
Henrico,4/27/2020,Not Reported,6,0,1,2020-04-27 20:28:04.771219
Alexandria,4/27/2020,Female,322,37,8,2020-04-27 20:28:04.771219
Arlington,4/27/2020,Not Reported,8,0,0,2020-04-27 20:28:04.771219
Three Rivers,4/27/2020,Female,53,6,1,2020-04-27 20:28:04.771219
Hampton,4/27/2020,Not Reported,1,0,0,2020-04-27 20:28:04.771219
Peninsula,4/27/2020,Male,158,54,8,2020-04-27 20:28:04.771219
Southside,4/27/2020,Female,87,9,5,2020-04-27 20:28:04.771219
Prince William,4/27/2020,Not Reported,13,0,0,2020-04-27 20:28:04.771219
Pittsylvania-Danville,4/27/2020,Male,19,9,1,2020-04-27 20:28:04.771219
Central Virginia,4/27/2020,Female,49,3,0,2020-04-27 20:28:04.771219
Lord Fairfax,4/27/2020,Female,192,15,1,2020-04-27 20:28:04.771219
Western Tidewater,4/27/2020,Male,203,27,3,2020-04-27 20:28:04.771219
Central Shenandoah,4/27/2020,Not Reported,7,0,0,2020-04-27 20:28:04.771219
Richmond,4/27/2020,Not Reported,3,1,2,2020-04-27 20:28:04.771219
Eastern Shore,4/27/2020,Male,117,10,1,2020-04-27 20:28:04.771219
Rappahannock Rapidan,4/27/2020,Female,121,8,1,2020-04-27 20:28:04.771219
Roanoke,4/27/2020,Male,18,3,0,2020-04-27 20:28:04.771219
West Piedmont,4/27/2020,Female,19,1,0,2020-04-27 20:28:04.771219
Mount Rogers,4/27/2020,Male,35,10,4,2020-04-27 20:28:04.771219
Cumberland Plateau,4/27/2020,Female,13,1,0,2020-04-27 20:28:04.771219
Chickahominy,4/27/2020,Not Reported,4,1,0,2020-04-27 20:28:04.771219
Arlington,4/27/2020,Female,411,67,12,2020-04-27 20:28:04.771219
Central Shenandoah,4/27/2020,Female,366,20,4,2020-04-27 20:28:04.771219
Lenowisco,4/27/2020,Female,18,6,1,2020-04-27 20:28:04.771219
Piedmont,4/27/2020,Male,59,11,2,2020-04-27 20:28:04.771219
Crater,4/27/2020,Not Reported,4,3,0,2020-04-27 20:28:04.771219
Fairfax,4/27/2020,Not Reported,21,3,1,2020-04-27 20:28:04.771219
Portsmouth,4/27/2020,Female,66,15,2,2020-04-27 20:28:04.771219
Eastern Shore,4/27/2020,Not Reported,2,0,0,2020-04-27 20:28:04.771219
Western Tidewater,4/27/2020,Female,166,16,5,2020-04-27 20:28:04.771219
Alleghany,4/27/2020,Male,36,9,1,2020-04-27 20:28:04.771219
Western Tidewater,4/27/2020,Not Reported,2,0,0,2020-04-27 20:28:04.771219
Henrico,4/27/2020,Male,322,64,41,2020-04-27 20:28:04.771219
Chesterfield,4/27/2020,Female,286,15,8,2020-04-27 20:44:17.382058
Mount Rogers,4/27/2020,Female,30,5,0,2020-04-27 20:44:17.382058
Virginia Beach,4/27/2020,Male,162,41,6,2020-04-27 20:44:17.382058
Crater,4/27/2020,Female,106,29,9,2020-04-27 20:44:17.382058
New River,4/27/2020,Female,36,3,0,2020-04-27 20:44:17.382058
Central Virginia,4/27/2020,Male,64,4,1,2020-04-27 20:44:17.382058
Lenowisco,4/27/2020,Male,19,7,1,2020-04-27 20:44:17.382058
Richmond,4/27/2020,Female,153,23,1,2020-04-27 20:44:17.382058
Chesapeake,4/27/2020,Female,122,23,3,2020-04-27 20:44:17.382058
Fairfax,4/27/2020,Female,1478,217,53,2020-04-27 20:44:17.382058
Peninsula,4/27/2020,Female,173,44,13,2020-04-27 20:44:17.382058
Loudoun,4/27/2020,Female,331,25,6,2020-04-27 20:44:17.382058
Norfolk,4/27/2020,Male,91,18,3,2020-04-27 20:44:17.382058
Loudoun,4/27/2020,Not Reported,2,0,0,2020-04-27 20:44:17.382058
Rappahannock,4/27/2020,Not Reported,3,0,0,2020-04-27 20:44:17.382058
Virginia Beach,4/27/2020,Female,193,31,4,2020-04-27 20:44:17.382058
Roanoke,4/27/2020,Female,15,2,0,2020-04-27 20:44:17.382058
West Piedmont,4/27/2020,Male,17,4,1,2020-04-27 20:44:17.382058
Thomas Jefferson,4/27/2020,Not Reported,1,0,0,2020-04-27 20:44:17.382058
New River,4/27/2020,Not Reported,1,0,0,2020-04-27 20:44:17.382058
Alexandria,4/27/2020,Not Reported,4,0,0,2020-04-27 20:44:17.382058
Chesterfield,4/27/2020,Male,220,24,13,2020-04-27 20:44:17.382058
Rappahannock,4/27/2020,Female,212,36,2,2020-04-27 20:44:17.382058
Chickahominy,4/27/2020,Female,140,21,4,2020-04-27 20:44:17.382058
Arlington,4/27/2020,Male,417,77,20,2020-04-27 20:44:17.382058
Chesterfield,4/27/2020,Not Reported,7,0,0,2020-04-27 20:44:17.382058
Richmond,4/27/2020,Male,148,35,11,2020-04-27 20:44:17.382058
Prince William,4/27/2020,Female,771,86,9,2020-04-27 20:44:17.382058
Loudoun,4/27/2020,Male,295,53,6,2020-04-27 20:44:17.382058
Portsmouth,4/27/2020,Male,47,17,3,2020-04-27 20:44:17.382058
Henrico,4/27/2020,Female,489,52,47,2020-04-27 20:44:17.382058
Thomas Jefferson,4/27/2020,Female,141,32,3,2020-04-27 20:44:17.382058
Pittsylvania-Danville,4/27/2020,Female,25,9,1,2020-04-27 20:44:17.382058
Mount Rogers,4/27/2020,Not Reported,1,0,0,2020-04-27 20:44:17.382058
Chickahominy,4/27/2020,Male,69,21,8,2020-04-27 20:44:17.382058
Prince William,4/27/2020,Male,784,85,14,2020-04-27 20:44:17.382058
Thomas Jefferson,4/27/2020,Male,116,25,8,2020-04-27 20:44:17.382058
Cumberland Plateau,4/27/2020,Male,9,0,0,2020-04-27 20:44:17.382058
Lord Fairfax,4/27/2020,Not Reported,2,0,0,2020-04-27 20:44:17.382058
Portsmouth,4/27/2020,Not Reported,1,0,0,2020-04-27 20:44:17.382058
Eastern Shore,4/27/2020,Female,104,10,2,2020-04-27 20:44:17.382058
Three Rivers,4/27/2020,Male,151,8,0,2020-04-27 20:44:17.382058
Alexandria,4/27/2020,Male,301,42,10,2020-04-27 20:44:17.382058
Piedmont,4/27/2020,Female,74,6,1,2020-04-27 20:44:17.382058
New River,4/27/2020,Male,34,5,1,2020-04-27 20:44:17.382058
Rappahannock,4/27/2020,Male,195,51,7,2020-04-27 20:44:17.382058
Rappahannock Rapidan,4/27/2020,Male,123,14,3,2020-04-27 20:44:17.382058
Lord Fairfax,4/27/2020,Male,150,20,1,2020-04-27 20:44:17.382058
Chesapeake,4/27/2020,Male,92,22,3,2020-04-27 20:44:17.382058
Norfolk,4/27/2020,Female,93,18,0,2020-04-27 20:44:17.382058
Alleghany,4/27/2020,Female,51,5,2,2020-04-27 20:44:17.382058
Crater,4/27/2020,Male,80,19,3,2020-04-27 20:44:17.382058
Central Shenandoah,4/27/2020,Male,274,22,7,2020-04-27 20:44:17.382058
Rappahannock Rapidan,4/27/2020,Not Reported,6,0,0,2020-04-27 20:44:17.382058
Hampton,4/27/2020,Male,46,17,1,2020-04-27 20:44:17.382058
Southside,4/27/2020,Male,42,14,4,2020-04-27 20:44:17.382058
Hampton,4/27/2020,Female,61,11,0,2020-04-27 20:44:17.382058
Fairfax,4/27/2020,Male,1556,309,50,2020-04-27 20:44:17.382058
Henrico,4/27/2020,Not Reported,6,0,1,2020-04-27 20:44:17.382058
Alexandria,4/27/2020,Female,322,37,8,2020-04-27 20:44:17.382058
Arlington,4/27/2020,Not Reported,8,0,0,2020-04-27 20:44:17.382058
Three Rivers,4/27/2020,Female,53,6,1,2020-04-27 20:44:17.382058
Hampton,4/27/2020,Not Reported,1,0,0,2020-04-27 20:44:17.382058
Peninsula,4/27/2020,Male,158,54,8,2020-04-27 20:44:17.382058
Southside,4/27/2020,Female,87,9,5,2020-04-27 20:44:17.382058
Prince William,4/27/2020,Not Reported,13,0,0,2020-04-27 20:44:17.382058
Pittsylvania-Danville,4/27/2020,Male,19,9,1,2020-04-27 20:44:17.382058
Central Virginia,4/27/2020,Female,49,3,0,2020-04-27 20:44:17.382058
Lord Fairfax,4/27/2020,Female,192,15,1,2020-04-27 20:44:17.382058
Western Tidewater,4/27/2020,Male,203,27,3,2020-04-27 20:44:17.382058
Central Shenandoah,4/27/2020,Not Reported,7,0,0,2020-04-27 20:44:17.382058
Richmond,4/27/2020,Not Reported,3,1,2,2020-04-27 20:44:17.382058
Eastern Shore,4/27/2020,Male,117,10,1,2020-04-27 20:44:17.382058
Rappahannock Rapidan,4/27/2020,Female,121,8,1,2020-04-27 20:44:17.382058
Roanoke,4/27/2020,Male,18,3,0,2020-04-27 20:44:17.382058
West Piedmont,4/27/2020,Female,19,1,0,2020-04-27 20:44:17.382058
Mount Rogers,4/27/2020,Male,35,10,4,2020-04-27 20:44:17.382058
Cumberland Plateau,4/27/2020,Female,13,1,0,2020-04-27 20:44:17.382058
Chickahominy,4/27/2020,Not Reported,4,1,0,2020-04-27 20:44:17.382058
Arlington,4/27/2020,Female,411,67,12,2020-04-27 20:44:17.382058
Central Shenandoah,4/27/2020,Female,366,20,4,2020-04-27 20:44:17.382058
Lenowisco,4/27/2020,Female,18,6,1,2020-04-27 20:44:17.382058
Piedmont,4/27/2020,Male,59,11,2,2020-04-27 20:44:17.382058
Crater,4/27/2020,Not Reported,4,3,0,2020-04-27 20:44:17.382058
Fairfax,4/27/2020,Not Reported,21,3,1,2020-04-27 20:44:17.382058
Portsmouth,4/27/2020,Female,66,15,2,2020-04-27 20:44:17.382058
Eastern Shore,4/27/2020,Not Reported,2,0,0,2020-04-27 20:44:17.382058
Western Tidewater,4/27/2020,Female,166,16,5,2020-04-27 20:44:17.382058
Alleghany,4/27/2020,Male,36,9,1,2020-04-27 20:44:17.382058
Western Tidewater,4/27/2020,Not Reported,2,0,0,2020-04-27 20:44:17.382058
Henrico,4/27/2020,Male,322,64,41,2020-04-27 20:44:17.382058
Chesterfield,4/28/2020,Female,306,15,9,2020-04-28 20:39:40.942298
Mount Rogers,4/28/2020,Female,31,5,0,2020-04-28 20:39:40.942298
Virginia Beach,4/28/2020,Male,164,43,7,2020-04-28 20:39:40.942298
Crater,4/28/2020,Female,106,29,9,2020-04-28 20:39:40.942298
New River,4/28/2020,Female,36,3,0,2020-04-28 20:39:40.942298
Central Virginia,4/28/2020,Male,64,4,1,2020-04-28 20:39:40.942298
Lenowisco,4/28/2020,Male,21,7,1,2020-04-28 20:39:40.942298
Richmond,4/28/2020,Female,158,24,1,2020-04-28 20:39:40.942298
Chesapeake,4/28/2020,Female,127,27,3,2020-04-28 20:39:40.942298
Fairfax,4/28/2020,Female,1628,234,59,2020-04-28 20:39:40.942298
Peninsula,4/28/2020,Female,176,44,13,2020-04-28 20:39:40.942298
Loudoun,4/28/2020,Female,366,30,6,2020-04-28 20:39:40.942298
Norfolk,4/28/2020,Male,90,18,3,2020-04-28 20:39:40.942298
Loudoun,4/28/2020,Not Reported,2,0,0,2020-04-28 20:39:40.942298
Rappahannock,4/28/2020,Not Reported,3,0,0,2020-04-28 20:39:40.942298
Virginia Beach,4/28/2020,Female,195,33,5,2020-04-28 20:39:40.942298
Roanoke,4/28/2020,Female,16,2,0,2020-04-28 20:39:40.942298
West Piedmont,4/28/2020,Male,18,4,1,2020-04-28 20:39:40.942298
Thomas Jefferson,4/28/2020,Not Reported,1,0,0,2020-04-28 20:39:40.942298
New River,4/28/2020,Not Reported,1,0,0,2020-04-28 20:39:40.942298
Alexandria,4/28/2020,Not Reported,4,0,0,2020-04-28 20:39:40.942298
Chesterfield,4/28/2020,Male,233,25,14,2020-04-28 20:39:40.942298
Rappahannock,4/28/2020,Female,220,36,2,2020-04-28 20:39:40.942298
Chickahominy,4/28/2020,Female,141,24,6,2020-04-28 20:39:40.942298
Arlington,4/28/2020,Male,429,87,20,2020-04-28 20:39:40.942298
Chesterfield,4/28/2020,Not Reported,7,0,0,2020-04-28 20:39:40.942298
Richmond,4/28/2020,Male,151,35,11,2020-04-28 20:39:40.942298
Prince William,4/28/2020,Female,827,93,10,2020-04-28 20:39:40.942298
Loudoun,4/28/2020,Male,320,54,6,2020-04-28 20:39:40.942298
Portsmouth,4/28/2020,Male,80,17,3,2020-04-28 20:39:40.942298
Henrico,4/28/2020,Female,500,55,50,2020-04-28 20:39:40.942298
Thomas Jefferson,4/28/2020,Female,144,32,4,2020-04-28 20:39:40.942298
Pittsylvania-Danville,4/28/2020,Female,25,9,1,2020-04-28 20:39:40.942298
Mount Rogers,4/28/2020,Not Reported,1,0,0,2020-04-28 20:39:40.942298
Chickahominy,4/28/2020,Male,72,21,8,2020-04-28 20:39:40.942298
Prince William,4/28/2020,Male,837,90,13,2020-04-28 20:39:40.942298
Thomas Jefferson,4/28/2020,Male,116,27,8,2020-04-28 20:39:40.942298
Cumberland Plateau,4/28/2020,Male,11,0,0,2020-04-28 20:39:40.942298
Lord Fairfax,4/28/2020,Not Reported,1,0,0,2020-04-28 20:39:40.942298
West Piedmont,4/28/2020,Not Reported,1,0,0,2020-04-28 20:39:40.942298
Portsmouth,4/28/2020,Not Reported,1,0,0,2020-04-28 20:39:40.942298
Eastern Shore,4/28/2020,Female,124,11,3,2020-04-28 20:39:40.942298
Three Rivers,4/28/2020,Male,158,8,0,2020-04-28 20:39:40.942298
Alexandria,4/28/2020,Male,310,45,11,2020-04-28 20:39:40.942298
Piedmont,4/28/2020,Female,75,6,1,2020-04-28 20:39:40.942298
New River,4/28/2020,Male,34,5,1,2020-04-28 20:39:40.942298
Rappahannock,4/28/2020,Male,203,52,7,2020-04-28 20:39:40.942298
Rappahannock Rapidan,4/28/2020,Male,135,15,3,2020-04-28 20:39:40.942298
Lord Fairfax,4/28/2020,Male,155,20,2,2020-04-28 20:39:40.942298
Chesapeake,4/28/2020,Male,93,23,3,2020-04-28 20:39:40.942298
Norfolk,4/28/2020,Female,98,20,0,2020-04-28 20:39:40.942298
Alleghany,4/28/2020,Female,51,6,2,2020-04-28 20:39:40.942298
Crater,4/28/2020,Male,80,19,3,2020-04-28 20:39:40.942298
Central Shenandoah,4/28/2020,Male,309,22,7,2020-04-28 20:39:40.942298
Rappahannock Rapidan,4/28/2020,Not Reported,7,0,0,2020-04-28 20:39:40.942298
Hampton,4/28/2020,Male,46,17,1,2020-04-28 20:39:40.942298
Southside,4/28/2020,Male,44,14,4,2020-04-28 20:39:40.942298
Hampton,4/28/2020,Female,61,11,0,2020-04-28 20:39:40.942298
Fairfax,4/28/2020,Male,1678,325,58,2020-04-28 20:39:40.942298
Henrico,4/28/2020,Not Reported,6,0,1,2020-04-28 20:39:40.942298
Alexandria,4/28/2020,Female,339,37,9,2020-04-28 20:39:40.942298
Arlington,4/28/2020,Not Reported,8,0,0,2020-04-28 20:39:40.942298
Three Rivers,4/28/2020,Female,56,7,1,2020-04-28 20:39:40.942298
Hampton,4/28/2020,Not Reported,1,0,0,2020-04-28 20:39:40.942298
Peninsula,4/28/2020,Male,160,54,8,2020-04-28 20:39:40.942298
Southside,4/28/2020,Female,86,9,5,2020-04-28 20:39:40.942298
Prince William,4/28/2020,Not Reported,13,0,0,2020-04-28 20:39:40.942298
Pittsylvania-Danville,4/28/2020,Male,19,9,1,2020-04-28 20:39:40.942298
Central Virginia,4/28/2020,Female,49,3,0,2020-04-28 20:39:40.942298
Lord Fairfax,4/28/2020,Female,199,16,1,2020-04-28 20:39:40.942298
Western Tidewater,4/28/2020,Male,205,28,5,2020-04-28 20:39:40.942298
Central Shenandoah,4/28/2020,Not Reported,7,0,0,2020-04-28 20:39:40.942298
Richmond,4/28/2020,Not Reported,3,1,2,2020-04-28 20:39:40.942298
Eastern Shore,4/28/2020,Male,131,10,1,2020-04-28 20:39:40.942298
Rappahannock Rapidan,4/28/2020,Female,133,9,1,2020-04-28 20:39:40.942298
Roanoke,4/28/2020,Male,19,3,0,2020-04-28 20:39:40.942298
West Piedmont,4/28/2020,Female,21,1,0,2020-04-28 20:39:40.942298
Mount Rogers,4/28/2020,Male,36,10,4,2020-04-28 20:39:40.942298
Cumberland Plateau,4/28/2020,Female,13,1,0,2020-04-28 20:39:40.942298
Chickahominy,4/28/2020,Not Reported,4,1,0,2020-04-28 20:39:40.942298
Arlington,4/28/2020,Female,428,70,12,2020-04-28 20:39:40.942298
Central Shenandoah,4/28/2020,Female,382,20,4,2020-04-28 20:39:40.942298
Lenowisco,4/28/2020,Female,19,6,1,2020-04-28 20:39:40.942298
Piedmont,4/28/2020,Male,69,12,2,2020-04-28 20:39:40.942298
Crater,4/28/2020,Not Reported,4,3,0,2020-04-28 20:39:40.942298
Fairfax,4/28/2020,Not Reported,25,3,1,2020-04-28 20:39:40.942298
Portsmouth,4/28/2020,Female,68,15,2,2020-04-28 20:39:40.942298
Eastern Shore,4/28/2020,Not Reported,3,0,0,2020-04-28 20:39:40.942298
Western Tidewater,4/28/2020,Female,174,17,6,2020-04-28 20:39:40.942298
Alleghany,4/28/2020,Male,37,9,1,2020-04-28 20:39:40.942298
Western Tidewater,4/28/2020,Not Reported,2,0,0,2020-04-28 20:39:40.942298
Henrico,4/28/2020,Male,329,65,44,2020-04-28 20:39:40.942298
Chesterfield,4/29/2020,Female,311,15,9,2020-04-29 19:59:19.685928
Mount Rogers,4/29/2020,Female,36,6,0,2020-04-29 19:59:19.685928
Virginia Beach,4/29/2020,Male,166,43,7,2020-04-29 19:59:19.685928
Crater,4/29/2020,Female,111,31,9,2020-04-29 19:59:19.685928
New River,4/29/2020,Female,38,3,0,2020-04-29 19:59:19.685928
Central Virginia,4/29/2020,Male,68,4,1,2020-04-29 19:59:19.685928
Lenowisco,4/29/2020,Male,21,8,1,2020-04-29 19:59:19.685928
Richmond,4/29/2020,Female,161,25,1,2020-04-29 19:59:19.685928
Chesapeake,4/29/2020,Female,132,31,3,2020-04-29 19:59:19.685928
Fairfax,4/29/2020,Female,1703,247,66,2020-04-29 19:59:19.685928
Peninsula,4/29/2020,Female,178,44,13,2020-04-29 19:59:19.685928
Loudoun,4/29/2020,Female,389,32,7,2020-04-29 19:59:19.685928
Norfolk,4/29/2020,Male,91,18,3,2020-04-29 19:59:19.685928
Loudoun,4/29/2020,Not Reported,2,0,0,2020-04-29 19:59:19.685928
Rappahannock,4/29/2020,Not Reported,3,0,0,2020-04-29 19:59:19.685928
Virginia Beach,4/29/2020,Female,199,33,5,2020-04-29 19:59:19.685928
Roanoke,4/29/2020,Female,36,2,0,2020-04-29 19:59:19.685928
West Piedmont,4/29/2020,Male,18,4,1,2020-04-29 19:59:19.685928
Thomas Jefferson,4/29/2020,Not Reported,1,0,0,2020-04-29 19:59:19.685928
New River,4/29/2020,Not Reported,1,0,0,2020-04-29 19:59:19.685928
Alexandria,4/29/2020,Not Reported,3,0,0,2020-04-29 19:59:19.685928
Chesterfield,4/29/2020,Male,244,27,14,2020-04-29 19:59:19.685928
Rappahannock,4/29/2020,Female,226,37,2,2020-04-29 19:59:19.685928
Chickahominy,4/29/2020,Female,141,26,7,2020-04-29 19:59:19.685928
Arlington,4/29/2020,Male,454,89,20,2020-04-29 19:59:19.685928
Chesterfield,4/29/2020,Not Reported,7,0,0,2020-04-29 19:59:19.685928
Richmond,4/29/2020,Male,159,36,11,2020-04-29 19:59:19.685928
Prince William,4/29/2020,Female,877,95,12,2020-04-29 19:59:19.685928
Loudoun,4/29/2020,Male,336,55,7,2020-04-29 19:59:19.685928
Portsmouth,4/29/2020,Male,81,17,3,2020-04-29 19:59:19.685928
Henrico,4/29/2020,Female,510,56,51,2020-04-29 19:59:19.685928
Thomas Jefferson,4/29/2020,Female,144,32,4,2020-04-29 19:59:19.685928
Pittsylvania-Danville,4/29/2020,Female,27,10,1,2020-04-29 19:59:19.685928
Mount Rogers,4/29/2020,Not Reported,1,0,0,2020-04-29 19:59:19.685928
Chickahominy,4/29/2020,Male,78,22,8,2020-04-29 19:59:19.685928
Prince William,4/29/2020,Male,893,100,14,2020-04-29 19:59:19.685928
Thomas Jefferson,4/29/2020,Male,119,27,8,2020-04-29 19:59:19.685928
Cumberland Plateau,4/29/2020,Male,12,0,0,2020-04-29 19:59:19.685928
Lord Fairfax,4/29/2020,Not Reported,1,0,0,2020-04-29 19:59:19.685928
Portsmouth,4/29/2020,Not Reported,1,0,0,2020-04-29 19:59:19.685928
Eastern Shore,4/29/2020,Female,127,11,3,2020-04-29 19:59:19.685928
Three Rivers,4/29/2020,Male,160,9,1,2020-04-29 19:59:19.685928
Alexandria,4/29/2020,Male,331,52,12,2020-04-29 19:59:19.685928
Piedmont,4/29/2020,Female,79,6,1,2020-04-29 19:59:19.685928
New River,4/29/2020,Male,34,5,1,2020-04-29 19:59:19.685928
Rappahannock,4/29/2020,Male,210,54,7,2020-04-29 19:59:19.685928
Rappahannock Rapidan,4/29/2020,Male,137,15,4,2020-04-29 19:59:19.685928
Lord Fairfax,4/29/2020,Male,166,20,2,2020-04-29 19:59:19.685928
Chesapeake,4/29/2020,Male,100,25,3,2020-04-29 19:59:19.685928
Norfolk,4/29/2020,Female,101,21,0,2020-04-29 19:59:19.685928
Alleghany,4/29/2020,Female,57,6,2,2020-04-29 19:59:19.685928
Crater,4/29/2020,Male,82,19,3,2020-04-29 19:59:19.685928
Central Shenandoah,4/29/2020,Male,314,22,8,2020-04-29 19:59:19.685928
Rappahannock Rapidan,4/29/2020,Not Reported,7,0,0,2020-04-29 19:59:19.685928
Hampton,4/29/2020,Male,46,17,1,2020-04-29 19:59:19.685928
Southside,4/29/2020,Male,44,15,5,2020-04-29 19:59:19.685928
