age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
60-69,Eastern Shore,203,8,31,2020-08-31 00:00:00
70-79,Eastern Shore,64,12,23,2020-08-31 00:00:00
80+,Eastern Shore,55,20,25,2020-08-31 00:00:00
Missing,Eastern Shore,6,0,0,2020-08-31 00:00:00
0-9,Fairfax,718,0,26,2020-08-31 00:00:00
10-19,Fairfax,1368,0,35,2020-08-31 00:00:00
20-29,Fairfax,3255,3,104,2020-08-31 00:00:00
30-39,Fairfax,3555,9,226,2020-08-31 00:00:00
40-49,Fairfax,3299,15,325,2020-08-31 00:00:00
50-59,Fairfax,2820,40,376,2020-08-31 00:00:00
60-69,Fairfax,1741,74,382,2020-08-31 00:00:00
70-79,Fairfax,775,121,270,2020-08-31 00:00:00
80+,Fairfax,888,310,330,2020-08-31 00:00:00
Missing,Fairfax,184,0,6,2020-08-31 00:00:00
0-9,Hampton,41,0,0,2020-08-31 00:00:00
10-19,Hampton,98,0,0,2020-08-31 00:00:00
20-29,Hampton,405,0,3,2020-08-31 00:00:00
30-39,Hampton,288,0,3,2020-08-31 00:00:00
40-49,Hampton,226,0,8,2020-08-31 00:00:00
50-59,Hampton,207,4,12,2020-08-31 00:00:00
60-69,Hampton,148,6,11,2020-08-31 00:00:00
70-79,Hampton,75,4,13,2020-08-31 00:00:00
80+,Hampton,34,2,4,2020-08-31 00:00:00
Missing,Hampton,32,0,0,2020-08-31 00:00:00
0-9,Henrico,176,0,5,2020-08-31 00:00:00
10-19,Henrico,387,0,5,2020-08-31 00:00:00
20-29,Henrico,799,1,21,2020-08-31 00:00:00
30-39,Henrico,835,0,22,2020-08-31 00:00:00
40-49,Henrico,688,2,42,2020-08-31 00:00:00
50-59,Henrico,584,12,66,2020-08-31 00:00:00
60-69,Henrico,406,37,65,2020-08-31 00:00:00
70-79,Henrico,291,47,63,2020-08-31 00:00:00
80+,Henrico,392,92,89,2020-08-31 00:00:00
Missing,Henrico,50,1,1,2020-08-31 00:00:00
0-9,Lenowisco,28,0,0,2020-08-31 00:00:00
10-19,Lenowisco,63,0,0,2020-08-31 00:00:00
20-29,Lenowisco,90,0,0,2020-08-31 00:00:00
30-39,Lenowisco,116,1,3,2020-08-31 00:00:00
40-49,Lenowisco,107,0,5,2020-08-31 00:00:00
50-59,Lenowisco,108,1,11,2020-08-31 00:00:00
60-69,Lenowisco,101,2,12,2020-08-31 00:00:00
70-79,Lenowisco,73,7,24,2020-08-31 00:00:00
80+,Lenowisco,23,1,5,2020-08-31 00:00:00
Missing,Lenowisco,0,0,0,2020-08-31 00:00:00
0-9,Lord Fairfax,91,0,2,2020-08-31 00:00:00
10-19,Lord Fairfax,232,0,4,2020-08-31 00:00:00
20-29,Lord Fairfax,464,0,8,2020-08-31 00:00:00
30-39,Lord Fairfax,458,1,14,2020-08-31 00:00:00
40-49,Lord Fairfax,424,1,20,2020-08-31 00:00:00
50-59,Lord Fairfax,447,4,35,2020-08-31 00:00:00
60-69,Lord Fairfax,284,14,56,2020-08-31 00:00:00
70-79,Lord Fairfax,189,20,53,2020-08-31 00:00:00
80+,Lord Fairfax,214,53,48,2020-08-31 00:00:00
Missing,Lord Fairfax,2,0,0,2020-08-31 00:00:00
0-9,Loudoun,234,0,4,2020-08-31 00:00:00
10-19,Loudoun,840,0,2,2020-08-31 00:00:00
20-29,Loudoun,1059,0,13,2020-08-31 00:00:00
30-39,Loudoun,1014,0,36,2020-08-31 00:00:00
40-49,Loudoun,1121,1,68,2020-08-31 00:00:00
50-59,Loudoun,884,4,72,2020-08-31 00:00:00
60-69,Loudoun,351,9,68,2020-08-31 00:00:00
70-79,Loudoun,182,19,58,2020-08-31 00:00:00
80+,Loudoun,228,84,63,2020-08-31 00:00:00
Missing,Loudoun,66,1,0,2020-08-31 00:00:00
0-9,Mount Rogers,72,0,1,2020-08-31 00:00:00
10-19,Mount Rogers,158,0,1,2020-08-31 00:00:00
20-29,Mount Rogers,307,0,0,2020-08-31 00:00:00
30-39,Mount Rogers,266,0,13,2020-08-31 00:00:00
40-49,Mount Rogers,273,2,7,2020-08-31 00:00:00
50-59,Mount Rogers,282,3,22,2020-08-31 00:00:00
60-69,Mount Rogers,240,3,27,2020-08-31 00:00:00
70-79,Mount Rogers,201,21,58,2020-08-31 00:00:00
80+,Mount Rogers,156,41,48,2020-08-31 00:00:00
Missing,Mount Rogers,0,0,0,2020-08-31 00:00:00
0-9,New River,20,0,0,2020-08-31 00:00:00
10-19,New River,255,0,0,2020-08-31 00:00:00
20-29,New River,491,0,0,2020-08-31 00:00:00
30-39,New River,122,0,4,2020-08-31 00:00:00
40-49,New River,101,0,2,2020-08-31 00:00:00
50-59,New River,89,0,6,2020-08-31 00:00:00
60-69,New River,59,2,8,2020-08-31 00:00:00
70-79,New River,49,4,12,2020-08-31 00:00:00
80+,New River,30,3,5,2020-08-31 00:00:00
Missing,New River,7,0,0,2020-08-31 00:00:00
0-9,Norfolk,156,0,3,2020-08-31 00:00:00
10-19,Norfolk,276,0,2,2020-08-31 00:00:00
20-29,Norfolk,1433,0,16,2020-08-31 00:00:00
30-39,Norfolk,779,1,34,2020-08-31 00:00:00
40-49,Norfolk,518,2,31,2020-08-31 00:00:00
50-59,Norfolk,501,5,50,2020-08-31 00:00:00
60-69,Norfolk,406,12,67,2020-08-31 00:00:00
70-79,Norfolk,178,17,55,2020-08-31 00:00:00
80+,Norfolk,105,15,26,2020-08-31 00:00:00
Missing,Norfolk,42,0,1,2020-08-31 00:00:00
0-9,Peninsula,140,0,1,2020-08-31 00:00:00
10-19,Peninsula,242,0,1,2020-08-31 00:00:00
20-29,Peninsula,961,0,1,2020-08-31 00:00:00
30-39,Peninsula,693,3,16,2020-08-31 00:00:00
40-49,Peninsula,542,1,17,2020-08-31 00:00:00
50-59,Peninsula,480,3,25,2020-08-31 00:00:00
60-69,Peninsula,323,5,36,2020-08-31 00:00:00
70-79,Peninsula,203,16,50,2020-08-31 00:00:00
80+,Peninsula,115,27,34,2020-08-31 00:00:00
Missing,Peninsula,44,0,0,2020-08-31 00:00:00
0-9,Piedmont,38,0,0,2020-08-31 00:00:00
10-19,Piedmont,69,0,0,2020-08-31 00:00:00
20-29,Piedmont,306,0,3,2020-08-31 00:00:00
30-39,Piedmont,339,0,6,2020-08-31 00:00:00
40-49,Piedmont,302,0,13,2020-08-31 00:00:00
50-59,Piedmont,264,4,27,2020-08-31 00:00:00
60-69,Piedmont,199,5,26,2020-08-31 00:00:00
70-79,Piedmont,102,8,28,2020-08-31 00:00:00
80+,Piedmont,66,21,24,2020-08-31 00:00:00
Missing,Piedmont,2,0,0,2020-08-31 00:00:00
0-9,Pittsylvania-Danville,53,0,0,2020-08-31 00:00:00
10-19,Pittsylvania-Danville,92,0,0,2020-08-31 00:00:00
20-29,Pittsylvania-Danville,190,0,0,2020-08-31 00:00:00
30-39,Pittsylvania-Danville,218,0,2,2020-08-31 00:00:00
40-49,Pittsylvania-Danville,231,1,11,2020-08-31 00:00:00
50-59,Pittsylvania-Danville,264,1,24,2020-08-31 00:00:00
60-69,Pittsylvania-Danville,180,4,24,2020-08-31 00:00:00
70-79,Pittsylvania-Danville,69,2,19,2020-08-31 00:00:00
80+,Pittsylvania-Danville,78,12,15,2020-08-31 00:00:00
Missing,Pittsylvania-Danville,1,0,0,2020-08-31 00:00:00
0-9,Portsmouth,73,0,4,2020-08-31 00:00:00
10-19,Portsmouth,187,0,0,2020-08-31 00:00:00
20-29,Portsmouth,469,0,16,2020-08-31 00:00:00
30-39,Portsmouth,387,1,18,2020-08-31 00:00:00
40-49,Portsmouth,331,2,19,2020-08-31 00:00:00
50-59,Portsmouth,313,4,39,2020-08-31 00:00:00
60-69,Portsmouth,259,10,35,2020-08-31 00:00:00
70-79,Portsmouth,118,10,30,2020-08-31 00:00:00
80+,Portsmouth,54,7,13,2020-08-31 00:00:00
Missing,Portsmouth,22,0,1,2020-08-31 00:00:00
0-9,Prince William,565,0,12,2020-08-31 00:00:00
10-19,Prince William,1199,0,10,2020-08-31 00:00:00
20-29,Prince William,2498,0,63,2020-08-31 00:00:00
30-39,Prince William,2435,2,111,2020-08-31 00:00:00
40-49,Prince William,2633,8,189,2020-08-31 00:00:00
50-59,Prince William,1943,19,229,2020-08-31 00:00:00
60-69,Prince William,1046,51,197,2020-08-31 00:00:00
70-79,Prince William,412,54,123,2020-08-31 00:00:00
80+,Prince William,282,81,96,2020-08-31 00:00:00
Missing,Prince William,193,0,3,2020-08-31 00:00:00
0-9,Rappahannock,193,0,2,2020-08-31 00:00:00
10-19,Rappahannock,458,0,4,2020-08-31 00:00:00
20-29,Rappahannock,900,0,18,2020-08-31 00:00:00
30-39,Rappahannock,792,0,28,2020-08-31 00:00:00
40-49,Rappahannock,737,2,52,2020-08-31 00:00:00
50-59,Rappahannock,651,5,64,2020-08-31 00:00:00
60-69,Rappahannock,343,9,66,2020-08-31 00:00:00
70-79,Rappahannock,175,19,47,2020-08-31 00:00:00
80+,Rappahannock,172,27,66,2020-08-31 00:00:00
Missing,Rappahannock,29,0,1,2020-08-31 00:00:00
0-9,Rappahannock Rapidan,111,0,1,2020-08-31 00:00:00
10-19,Rappahannock Rapidan,207,0,4,2020-08-31 00:00:00
20-29,Rappahannock Rapidan,423,0,6,2020-08-31 00:00:00
30-39,Rappahannock Rapidan,437,1,20,2020-08-31 00:00:00
40-49,Rappahannock Rapidan,405,3,24,2020-08-31 00:00:00
50-59,Rappahannock Rapidan,341,2,35,2020-08-31 00:00:00
60-69,Rappahannock Rapidan,195,5,25,2020-08-31 00:00:00
70-79,Rappahannock Rapidan,78,9,15,2020-08-31 00:00:00
80+,Rappahannock Rapidan,75,10,20,2020-08-31 00:00:00
Missing,Rappahannock Rapidan,13,0,0,2020-08-31 00:00:00
0-9,Richmond,141,0,6,2020-08-31 00:00:00
10-19,Richmond,352,0,5,2020-08-31 00:00:00
20-29,Richmond,1009,0,21,2020-08-31 00:00:00
30-39,Richmond,802,1,44,2020-08-31 00:00:00
40-49,Richmond,574,5,44,2020-08-31 00:00:00
50-59,Richmond,434,3,76,2020-08-31 00:00:00
60-69,Richmond,321,8,80,2020-08-31 00:00:00
70-79,Richmond,151,19,65,2020-08-31 00:00:00
80+,Richmond,85,11,33,2020-08-31 00:00:00
Missing,Richmond,28,0,1,2020-08-31 00:00:00
0-9,Roanoke,49,0,0,2020-08-31 00:00:00
10-19,Roanoke,137,0,1,2020-08-31 00:00:00
20-29,Roanoke,268,0,5,2020-08-31 00:00:00
30-39,Roanoke,253,0,5,2020-08-31 00:00:00
40-49,Roanoke,174,0,6,2020-08-31 00:00:00
50-59,Roanoke,135,0,6,2020-08-31 00:00:00
60-69,Roanoke,82,1,8,2020-08-31 00:00:00
70-79,Roanoke,38,2,7,2020-08-31 00:00:00
80+,Roanoke,61,12,6,2020-08-31 00:00:00
Missing,Roanoke,3,0,0,2020-08-31 00:00:00
0-9,Southside,17,0,0,2020-08-31 00:00:00
10-19,Southside,37,0,0,2020-08-31 00:00:00
20-29,Southside,140,0,2,2020-08-31 00:00:00
30-39,Southside,187,0,4,2020-08-31 00:00:00
40-49,Southside,157,0,6,2020-08-31 00:00:00
50-59,Southside,156,1,13,2020-08-31 00:00:00
60-69,Southside,131,6,17,2020-08-31 00:00:00
70-79,Southside,99,17,15,2020-08-31 00:00:00
80+,Southside,94,13,12,2020-08-31 00:00:00
Missing,Southside,1,0,0,2020-08-31 00:00:00
0-9,Thomas Jefferson,109,0,1,2020-08-31 00:00:00
10-19,Thomas Jefferson,285,0,2,2020-08-31 00:00:00
20-29,Thomas Jefferson,457,0,3,2020-08-31 00:00:00
30-39,Thomas Jefferson,427,0,13,2020-08-31 00:00:00
40-49,Thomas Jefferson,357,0,20,2020-08-31 00:00:00
50-59,Thomas Jefferson,284,2,23,2020-08-31 00:00:00
60-69,Thomas Jefferson,216,4,40,2020-08-31 00:00:00
70-79,Thomas Jefferson,156,13,28,2020-08-31 00:00:00
80+,Thomas Jefferson,181,31,38,2020-08-31 00:00:00
Missing,Thomas Jefferson,3,0,0,2020-08-31 00:00:00
0-9,Three Rivers,30,0,1,2020-08-31 00:00:00
10-19,Three Rivers,75,0,1,2020-08-31 00:00:00
20-29,Three Rivers,235,0,4,2020-08-31 00:00:00
30-39,Three Rivers,243,0,8,2020-08-31 00:00:00
40-49,Three Rivers,229,2,15,2020-08-31 00:00:00
50-59,Three Rivers,197,0,14,2020-08-31 00:00:00
60-69,Three Rivers,143,3,20,2020-08-31 00:00:00
70-79,Three Rivers,69,8,15,2020-08-31 00:00:00
80+,Three Rivers,56,7,14,2020-08-31 00:00:00
Missing,Three Rivers,10,0,1,2020-08-31 00:00:00
0-9,Virginia Beach,202,0,1,2020-08-31 00:00:00
10-19,Virginia Beach,465,0,1,2020-08-31 00:00:00
20-29,Virginia Beach,1543,0,12,2020-08-31 00:00:00
30-39,Virginia Beach,1162,1,24,2020-08-31 00:00:00
40-49,Virginia Beach,809,2,31,2020-08-31 00:00:00
50-59,Virginia Beach,706,3,42,2020-08-31 00:00:00
60-69,Virginia Beach,532,7,70,2020-08-31 00:00:00
70-79,Virginia Beach,271,21,74,2020-08-31 00:00:00
80+,Virginia Beach,212,34,66,2020-08-31 00:00:00
Missing,Virginia Beach,126,0,0,2020-08-31 00:00:00
0-9,Western Tidewater,83,0,1,2020-08-31 00:00:00
10-19,Western Tidewater,200,0,0,2020-08-31 00:00:00
20-29,Western Tidewater,409,0,6,2020-08-31 00:00:00
30-39,Western Tidewater,437,2,18,2020-08-31 00:00:00
40-49,Western Tidewater,391,3,10,2020-08-31 00:00:00
50-59,Western Tidewater,501,4,25,2020-08-31 00:00:00
60-69,Western Tidewater,368,11,32,2020-08-31 00:00:00
70-79,Western Tidewater,220,21,33,2020-08-31 00:00:00
80+,Western Tidewater,205,50,36,2020-08-31 00:00:00
Missing,Western Tidewater,22,0,0,2020-08-31 00:00:00
0-9,West Piedmont,46,0,2,2020-08-31 00:00:00
10-19,West Piedmont,128,0,0,2020-08-31 00:00:00
20-29,West Piedmont,241,0,4,2020-08-31 00:00:00
30-39,West Piedmont,213,0,6,2020-08-31 00:00:00
40-49,West Piedmont,254,3,17,2020-08-31 00:00:00
50-59,West Piedmont,284,3,44,2020-08-31 00:00:00
60-69,West Piedmont,198,3,35,2020-08-31 00:00:00
70-79,West Piedmont,124,11,44,2020-08-31 00:00:00
80+,West Piedmont,120,14,45,2020-08-31 00:00:00
Missing,West Piedmont,0,0,0,2020-08-31 00:00:00
0-9,Alexandria,206,0,2,2020-09-01 00:00:00
10-19,Alexandria,242,0,5,2020-09-01 00:00:00
20-29,Alexandria,614,1,12,2020-09-01 00:00:00
30-39,Alexandria,780,1,37,2020-09-01 00:00:00
40-49,Alexandria,609,0,46,2020-09-01 00:00:00
50-59,Alexandria,436,12,61,2020-09-01 00:00:00
60-69,Alexandria,264,3,57,2020-09-01 00:00:00
70-79,Alexandria,120,18,44,2020-09-01 00:00:00
80+,Alexandria,113,27,34,2020-09-01 00:00:00
Missing,Alexandria,11,0,0,2020-09-01 00:00:00
0-9,Alleghany,37,0,0,2020-09-01 00:00:00
10-19,Alleghany,140,0,1,2020-09-01 00:00:00
20-29,Alleghany,238,0,1,2020-09-01 00:00:00
30-39,Alleghany,164,0,5,2020-09-01 00:00:00
40-49,Alleghany,164,0,5,2020-09-01 00:00:00
50-59,Alleghany,180,1,10,2020-09-01 00:00:00
60-69,Alleghany,108,1,11,2020-09-01 00:00:00
70-79,Alleghany,98,13,16,2020-09-01 00:00:00
80+,Alleghany,51,7,12,2020-09-01 00:00:00
Missing,Alleghany,2,0,0,2020-09-01 00:00:00
0-9,Arlington,88,0,2,2020-09-01 00:00:00
10-19,Arlington,190,0,5,2020-09-01 00:00:00
20-29,Arlington,779,0,23,2020-09-01 00:00:00
30-39,Arlington,672,0,45,2020-09-01 00:00:00
40-49,Arlington,576,9,61,2020-09-01 00:00:00
50-59,Arlington,484,7,77,2020-09-01 00:00:00
60-69,Arlington,338,19,86,2020-09-01 00:00:00
70-79,Arlington,202,34,77,2020-09-01 00:00:00
80+,Arlington,215,71,89,2020-09-01 00:00:00
Missing,Arlington,16,0,1,2020-09-01 00:00:00
0-9,Central Shenandoah,104,0,0,2020-09-01 00:00:00
10-19,Central Shenandoah,285,0,1,2020-09-01 00:00:00
20-29,Central Shenandoah,832,0,11,2020-09-01 00:00:00
30-39,Central Shenandoah,468,0,8,2020-09-01 00:00:00
40-49,Central Shenandoah,511,0,18,2020-09-01 00:00:00
50-59,Central Shenandoah,528,6,44,2020-09-01 00:00:00
60-69,Central Shenandoah,376,15,53,2020-09-01 00:00:00
70-79,Central Shenandoah,191,18,57,2020-09-01 00:00:00
80+,Central Shenandoah,166,23,43,2020-09-01 00:00:00
Missing,Central Shenandoah,3,0,0,2020-09-01 00:00:00
0-9,Central Virginia,71,0,0,2020-09-01 00:00:00
10-19,Central Virginia,255,0,2,2020-09-01 00:00:00
20-29,Central Virginia,572,0,3,2020-09-01 00:00:00
30-39,Central Virginia,315,0,11,2020-09-01 00:00:00
40-49,Central Virginia,310,0,3,2020-09-01 00:00:00
50-59,Central Virginia,354,4,9,2020-09-01 00:00:00
60-69,Central Virginia,240,3,20,2020-09-01 00:00:00
70-79,Central Virginia,141,5,17,2020-09-01 00:00:00
80+,Central Virginia,97,7,13,2020-09-01 00:00:00
Missing,Central Virginia,2,0,0,2020-09-01 00:00:00
0-9,Chesapeake,126,0,1,2020-09-01 00:00:00
10-19,Chesapeake,297,0,4,2020-09-01 00:00:00
20-29,Chesapeake,713,0,6,2020-09-01 00:00:00
30-39,Chesapeake,705,0,24,2020-09-01 00:00:00
40-49,Chesapeake,571,1,42,2020-09-01 00:00:00
50-59,Chesapeake,559,3,56,2020-09-01 00:00:00
60-69,Chesapeake,420,13,82,2020-09-01 00:00:00
70-79,Chesapeake,212,6,62,2020-09-01 00:00:00
80+,Chesapeake,165,25,50,2020-09-01 00:00:00
Missing,Chesapeake,43,0,1,2020-09-01 00:00:00
0-9,Chesterfield,213,0,2,2020-09-01 00:00:00
10-19,Chesterfield,544,0,2,2020-09-01 00:00:00
20-29,Chesterfield,1026,0,13,2020-09-01 00:00:00
30-39,Chesterfield,1081,1,22,2020-09-01 00:00:00
40-49,Chesterfield,917,3,42,2020-09-01 00:00:00
50-59,Chesterfield,766,7,64,2020-09-01 00:00:00
60-69,Chesterfield,470,19,75,2020-09-01 00:00:00
70-79,Chesterfield,204,28,40,2020-09-01 00:00:00
80+,Chesterfield,179,52,42,2020-09-01 00:00:00
Missing,Chesterfield,124,0,1,2020-09-01 00:00:00
0-9,Chickahominy,32,0,0,2020-09-01 00:00:00
10-19,Chickahominy,133,0,0,2020-09-01 00:00:00
20-29,Chickahominy,199,0,3,2020-09-01 00:00:00
30-39,Chickahominy,162,0,3,2020-09-01 00:00:00
40-49,Chickahominy,153,1,14,2020-09-01 00:00:00
50-59,Chickahominy,227,1,25,2020-09-01 00:00:00
60-69,Chickahominy,132,9,27,2020-09-01 00:00:00
70-79,Chickahominy,97,7,28,2020-09-01 00:00:00
80+,Chickahominy,99,30,40,2020-09-01 00:00:00
Missing,Chickahominy,18,0,0,2020-09-01 00:00:00
0-9,Crater,62,0,2,2020-09-01 00:00:00
10-19,Crater,157,0,2,2020-09-01 00:00:00
20-29,Crater,520,0,9,2020-09-01 00:00:00
30-39,Crater,577,0,9,2020-09-01 00:00:00
40-49,Crater,467,1,25,2020-09-01 00:00:00
50-59,Crater,553,4,52,2020-09-01 00:00:00
60-69,Crater,414,21,64,2020-09-01 00:00:00
70-79,Crater,232,25,51,2020-09-01 00:00:00
80+,Crater,184,25,36,2020-09-01 00:00:00
Missing,Crater,30,0,0,2020-09-01 00:00:00
0-9,Cumberland Plateau,19,0,0,2020-09-01 00:00:00
10-19,Cumberland Plateau,84,0,1,2020-09-01 00:00:00
20-29,Cumberland Plateau,75,0,0,2020-09-01 00:00:00
30-39,Cumberland Plateau,66,0,2,2020-09-01 00:00:00
40-49,Cumberland Plateau,89,0,5,2020-09-01 00:00:00
50-59,Cumberland Plateau,88,1,12,2020-09-01 00:00:00
60-69,Cumberland Plateau,62,2,13,2020-09-01 00:00:00
70-79,Cumberland Plateau,38,0,5,2020-09-01 00:00:00
80+,Cumberland Plateau,29,5,10,2020-09-01 00:00:00
Missing,Cumberland Plateau,0,0,0,2020-09-01 00:00:00
0-9,Eastern Shore,28,0,2,2020-09-01 00:00:00
10-19,Eastern Shore,72,0,1,2020-09-01 00:00:00
20-29,Eastern Shore,214,0,6,2020-09-01 00:00:00
30-39,Eastern Shore,253,0,11,2020-09-01 00:00:00
40-49,Eastern Shore,264,2,13,2020-09-01 00:00:00
50-59,Eastern Shore,291,6,24,2020-09-01 00:00:00
60-69,Eastern Shore,203,8,31,2020-09-01 00:00:00
70-79,Eastern Shore,66,12,23,2020-09-01 00:00:00
80+,Eastern Shore,55,20,25,2020-09-01 00:00:00
Missing,Eastern Shore,6,0,0,2020-09-01 00:00:00
0-9,Fairfax,720,0,26,2020-09-01 00:00:00
10-19,Fairfax,1379,0,34,2020-09-01 00:00:00
20-29,Fairfax,3272,3,104,2020-09-01 00:00:00
30-39,Fairfax,3571,9,226,2020-09-01 00:00:00
40-49,Fairfax,3317,15,324,2020-09-01 00:00:00
50-59,Fairfax,2839,40,377,2020-09-01 00:00:00
60-69,Fairfax,1747,75,384,2020-09-01 00:00:00
70-79,Fairfax,778,122,270,2020-09-01 00:00:00
80+,Fairfax,889,310,331,2020-09-01 00:00:00
Missing,Fairfax,184,0,6,2020-09-01 00:00:00
0-9,Hampton,41,0,0,2020-09-01 00:00:00
10-19,Hampton,98,0,0,2020-09-01 00:00:00
20-29,Hampton,408,0,3,2020-09-01 00:00:00
30-39,Hampton,291,0,3,2020-09-01 00:00:00
40-49,Hampton,227,0,8,2020-09-01 00:00:00
50-59,Hampton,208,4,12,2020-09-01 00:00:00
60-69,Hampton,148,6,11,2020-09-01 00:00:00
70-79,Hampton,75,4,13,2020-09-01 00:00:00
80+,Hampton,34,2,4,2020-09-01 00:00:00
Missing,Hampton,32,0,0,2020-09-01 00:00:00
0-9,Henrico,179,0,5,2020-09-01 00:00:00
10-19,Henrico,388,0,5,2020-09-01 00:00:00
20-29,Henrico,811,1,21,2020-09-01 00:00:00
30-39,Henrico,839,0,22,2020-09-01 00:00:00
40-49,Henrico,695,2,42,2020-09-01 00:00:00
50-59,Henrico,590,12,66,2020-09-01 00:00:00
60-69,Henrico,409,37,65,2020-09-01 00:00:00
70-79,Henrico,294,47,64,2020-09-01 00:00:00
80+,Henrico,396,93,90,2020-09-01 00:00:00
Missing,Henrico,50,1,1,2020-09-01 00:00:00
0-9,Lenowisco,29,0,0,2020-09-01 00:00:00
10-19,Lenowisco,64,0,0,2020-09-01 00:00:00
20-29,Lenowisco,96,0,0,2020-09-01 00:00:00
30-39,Lenowisco,117,1,3,2020-09-01 00:00:00
40-49,Lenowisco,109,0,5,2020-09-01 00:00:00
50-59,Lenowisco,108,1,11,2020-09-01 00:00:00
60-69,Lenowisco,102,2,12,2020-09-01 00:00:00
70-79,Lenowisco,75,7,24,2020-09-01 00:00:00
80+,Lenowisco,24,1,7,2020-09-01 00:00:00
Missing,Lenowisco,0,0,0,2020-09-01 00:00:00
0-9,Lord Fairfax,94,0,2,2020-09-01 00:00:00
10-19,Lord Fairfax,234,0,4,2020-09-01 00:00:00
20-29,Lord Fairfax,470,0,9,2020-09-01 00:00:00
30-39,Lord Fairfax,458,1,14,2020-09-01 00:00:00
40-49,Lord Fairfax,426,1,21,2020-09-01 00:00:00
50-59,Lord Fairfax,447,4,36,2020-09-01 00:00:00
60-69,Lord Fairfax,284,14,56,2020-09-01 00:00:00
70-79,Lord Fairfax,189,20,56,2020-09-01 00:00:00
80+,Lord Fairfax,214,54,48,2020-09-01 00:00:00
Missing,Lord Fairfax,2,0,0,2020-09-01 00:00:00
0-9,Loudoun,234,0,4,2020-09-01 00:00:00
10-19,Loudoun,848,0,2,2020-09-01 00:00:00
20-29,Loudoun,1068,0,13,2020-09-01 00:00:00
30-39,Loudoun,1019,0,36,2020-09-01 00:00:00
40-49,Loudoun,1127,1,69,2020-09-01 00:00:00
50-59,Loudoun,885,4,74,2020-09-01 00:00:00
60-69,Loudoun,351,9,68,2020-09-01 00:00:00
70-79,Loudoun,182,19,58,2020-09-01 00:00:00
80+,Loudoun,228,84,63,2020-09-01 00:00:00
Missing,Loudoun,66,1,0,2020-09-01 00:00:00
0-9,Mount Rogers,73,0,1,2020-09-01 00:00:00
10-19,Mount Rogers,162,0,1,2020-09-01 00:00:00
20-29,Mount Rogers,312,0,0,2020-09-01 00:00:00
30-39,Mount Rogers,271,0,13,2020-09-01 00:00:00
40-49,Mount Rogers,277,2,7,2020-09-01 00:00:00
50-59,Mount Rogers,291,3,22,2020-09-01 00:00:00
60-69,Mount Rogers,245,3,27,2020-09-01 00:00:00
70-79,Mount Rogers,206,24,63,2020-09-01 00:00:00
80+,Mount Rogers,157,41,48,2020-09-01 00:00:00
Missing,Mount Rogers,0,0,0,2020-09-01 00:00:00
0-9,New River,20,0,0,2020-09-01 00:00:00
10-19,New River,290,0,0,2020-09-01 00:00:00
20-29,New River,559,0,0,2020-09-01 00:00:00
30-39,New River,124,0,4,2020-09-01 00:00:00
40-49,New River,106,0,2,2020-09-01 00:00:00
50-59,New River,90,0,6,2020-09-01 00:00:00
60-69,New River,60,2,8,2020-09-01 00:00:00
70-79,New River,49,4,12,2020-09-01 00:00:00
80+,New River,30,3,5,2020-09-01 00:00:00
Missing,New River,7,0,0,2020-09-01 00:00:00
0-9,Norfolk,155,0,3,2020-09-01 00:00:00
10-19,Norfolk,276,0,2,2020-09-01 00:00:00
20-29,Norfolk,1442,0,16,2020-09-01 00:00:00
30-39,Norfolk,783,1,34,2020-09-01 00:00:00
40-49,Norfolk,518,2,32,2020-09-01 00:00:00
50-59,Norfolk,501,6,51,2020-09-01 00:00:00
60-69,Norfolk,405,13,68,2020-09-01 00:00:00
70-79,Norfolk,179,17,55,2020-09-01 00:00:00
80+,Norfolk,105,16,26,2020-09-01 00:00:00
Missing,Norfolk,42,0,1,2020-09-01 00:00:00
0-9,Peninsula,141,0,1,2020-09-01 00:00:00
10-19,Peninsula,245,0,1,2020-09-01 00:00:00
20-29,Peninsula,969,0,1,2020-09-01 00:00:00
30-39,Peninsula,698,3,16,2020-09-01 00:00:00
40-49,Peninsula,546,1,17,2020-09-01 00:00:00
50-59,Peninsula,482,3,25,2020-09-01 00:00:00
60-69,Peninsula,327,5,36,2020-09-01 00:00:00
70-79,Peninsula,204,16,50,2020-09-01 00:00:00
80+,Peninsula,115,29,34,2020-09-01 00:00:00
Missing,Peninsula,44,0,0,2020-09-01 00:00:00
0-9,Piedmont,41,0,0,2020-09-01 00:00:00
10-19,Piedmont,71,0,0,2020-09-01 00:00:00
20-29,Piedmont,310,0,3,2020-09-01 00:00:00
30-39,Piedmont,339,0,6,2020-09-01 00:00:00
40-49,Piedmont,309,0,13,2020-09-01 00:00:00
50-59,Piedmont,269,4,27,2020-09-01 00:00:00
60-69,Piedmont,202,6,26,2020-09-01 00:00:00
70-79,Piedmont,102,8,28,2020-09-01 00:00:00
80+,Piedmont,67,21,24,2020-09-01 00:00:00
Missing,Piedmont,2,0,0,2020-09-01 00:00:00
0-9,Pittsylvania-Danville,53,0,0,2020-09-01 00:00:00
10-19,Pittsylvania-Danville,94,0,0,2020-09-01 00:00:00
20-29,Pittsylvania-Danville,192,0,1,2020-09-01 00:00:00
30-39,Pittsylvania-Danville,221,0,2,2020-09-01 00:00:00
40-49,Pittsylvania-Danville,233,1,11,2020-09-01 00:00:00
