County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Roberts,2020-09-01 20:07:26.520193,1,2127,100,87
Sanborn,2020-09-01 20:07:26.520193,0,262,15,13
Spink,2020-09-01 20:07:26.520193,0,1295,54,35
Stanley,2020-09-01 20:07:26.520193,0,306,21,20
Sully,2020-09-01 20:07:26.520193,0,106,8,7
Todd,2020-09-01 20:07:26.520193,5,2456,82,70
Lincoln,2020-09-02 20:10:29.112057,2,8209,935,767
Lyman,2020-09-02 20:10:29.112057,3,1093,104,86
Marshall,2020-09-02 20:10:29.112057,0,537,19,14
McCook,2020-09-02 20:10:29.112057,1,737,53,36
McPherson,2020-09-02 20:10:29.112057,0,254,10,9
Meade,2020-09-02 20:10:29.112057,1,2290,317,171
Mellette,2020-09-02 20:10:29.112057,0,408,25,24
Miner,2020-09-02 20:10:29.112057,0,282,17,15
Minnehaha,2020-09-02 20:10:29.112057,70,32226,5389,4715
Moody,2020-09-02 20:10:29.112057,0,722,47,37
Oglala Lakota,2020-09-02 20:10:29.112057,2,3075,185,152
Pennington,2020-09-02 20:10:29.112057,33,12410,1475,1010
Perkins,2020-09-02 20:10:29.112057,0,227,19,7
Potter,2020-09-02 20:10:29.112057,0,350,18,5
Roberts,2020-09-02 20:10:29.112057,1,2137,100,87
Sanborn,2020-09-02 20:10:29.112057,0,262,16,13
Spink,2020-09-02 20:10:29.112057,0,1304,54,35
Stanley,2020-09-02 20:10:29.112057,0,308,21,20
Sully,2020-09-02 20:10:29.112057,0,106,8,8
Todd,2020-09-02 20:10:29.112057,5,2487,82,70
Lincoln,2020-09-03 21:02:30.815964,2,8275,952,778
Lyman,2020-09-03 21:02:30.815964,3,1095,104,87
Marshall,2020-09-03 21:02:30.815964,0,544,19,14
McCook,2020-09-03 21:02:30.815964,1,742,53,37
McPherson,2020-09-03 21:02:30.815964,0,255,10,9
Meade,2020-09-03 21:02:30.815964,1,2329,324,182
Mellette,2020-09-03 21:02:30.815964,0,409,25,24
Miner,2020-09-03 21:02:30.815964,0,283,17,15
Minnehaha,2020-09-03 21:02:30.815964,70,32412,5457,4741
Moody,2020-09-03 21:02:30.815964,0,729,47,38
Oglala Lakota,2020-09-03 21:02:30.815964,2,3081,186,153
Pennington,2020-09-03 21:02:30.815964,33,12614,1536,1055
Perkins,2020-09-03 21:02:30.815964,0,231,19,7
Potter,2020-09-03 21:02:30.815964,0,351,18,5
Roberts,2020-09-03 21:02:30.815964,1,2175,102,88
Sanborn,2020-09-03 21:02:30.815964,0,264,15,13
Spink,2020-09-03 21:02:30.815964,0,1315,56,35
Stanley,2020-09-03 21:02:30.815964,0,310,21,20
Sully,2020-09-03 21:02:30.815964,0,107,8,8
Todd,2020-09-03 21:02:30.815964,5,2506,83,71
Lincoln,2020-09-04 20:57:45.223077,2,8372,958,794
Lyman,2020-09-04 20:57:45.223077,3,1102,104,87
Marshall,2020-09-04 20:57:45.223077,0,552,19,15
McCook,2020-09-04 20:57:45.223077,1,751,54,39
McPherson,2020-09-04 20:57:45.223077,0,257,11,9
Meade,2020-09-04 20:57:45.223077,1,2344,332,195
Mellette,2020-09-04 20:57:45.223077,0,410,25,24
Miner,2020-09-04 20:57:45.223077,0,290,17,15
Minnehaha,2020-09-04 20:57:45.223077,71,32711,5496,4776
Moody,2020-09-04 20:57:45.223077,0,737,48,37
Oglala Lakota,2020-09-04 20:57:45.223077,2,3094,187,153
Pennington,2020-09-04 20:57:45.223077,33,12724,1560,1085
Perkins,2020-09-04 20:57:45.223077,0,231,23,10
Potter,2020-09-04 20:57:45.223077,0,353,20,5
Roberts,2020-09-04 20:57:45.223077,1,2220,104,88
Sanborn,2020-09-04 20:57:45.223077,0,268,16,13
Spink,2020-09-04 20:57:45.223077,0,1330,57,37
Stanley,2020-09-04 20:57:45.223077,0,317,22,20
Sully,2020-09-04 20:57:45.223077,0,108,8,8
Todd,2020-09-04 20:57:45.223077,5,2510,86,71
Lincoln,2020-09-05 20:15:53.686463,2,8448,972,807
Lyman,2020-09-05 20:15:53.686463,3,1116,104,88
